id,fecha,MERVAL
1340,2010-02-22,2347
1341,2010-02-23,2297
1342,2010-02-24,2292
1343,2010-02-25,2212
1344,2010-02-26,2221
1345,2010-03-01,2265
1346,2010-03-02,2286
1347,2010-03-03,2291
1348,2010-03-04,2284
1349,2010-03-05,2299
1350,2010-03-08,2308
1351,2010-03-09,2319
1352,2010-03-10,2332
1353,2010-03-11,2332
1354,2010-03-12,2360
1355,2010-03-15,2351
1356,2010-03-16,2379
1357,2010-03-17,2382
1358,2010-03-18,2373
1359,2010-03-19,2381
1360,2010-03-22,2414
1361,2010-03-23,2439
1362,2010-03-25,2410
1363,2010-03-26,2402
1364,2010-03-29,2418
1365,2010-03-30,2405
1366,2010-03-31,2374
1367,2010-04-05,2450
1368,2010-04-06,2487
1369,2010-04-07,2454
1370,2010-04-08,2471
1371,2010-04-09,2488
1372,2010-04-12,2486
1373,2010-04-13,2464
1374,2010-04-14,2459
1375,2010-04-15,2438
1376,2010-04-16,2399
1377,2010-04-19,2420
1378,2010-04-20,2427
1379,2010-04-21,2423
1380,2010-04-22,2430
1381,2010-04-23,2447
1382,2010-04-26,2437
1383,2010-04-27,2375
1384,2010-04-28,2378
1385,2010-04-29,2395
1386,2010-04-30,2396
1387,2010-05-03,2413
1388,2010-05-04,2324
1389,2010-05-05,2285
1390,2010-05-06,2162
1391,2010-05-07,2160
1392,2010-05-10,2315
1393,2010-05-11,2290
1394,2010-05-12,2301
1395,2010-05-13,2281
1396,2010-05-14,2213
1397,2010-05-17,2186
1398,2010-05-18,2183
1399,2010-05-19,2178
1400,2010-05-20,2090
1401,2010-05-21,2124
1402,2010-05-26,2061
1403,2010-05-27,2176
1404,2010-05-28,2169
1405,2010-05-31,2204
1406,2010-06-01,2175
1407,2010-06-02,2212
1408,2010-06-03,2239
1409,2010-06-04,2181
1410,2010-06-07,2169
1411,2010-06-08,2204
1412,2010-06-09,2218
1413,2010-06-10,2262
1414,2010-06-11,2281
1415,2010-06-14,2283
1416,2010-06-15,2326
1417,2010-06-16,2323
1418,2010-06-17,2315
1419,2010-06-18,2320
1420,2010-06-22,2328
1421,2010-06-23,2327
1422,2010-06-24,2301
1423,2010-06-25,2318
1424,2010-06-28,2292
1425,2010-06-29,2193
1426,2010-06-30,2185
1427,2010-07-01,2209
1428,2010-07-02,2217
1429,2010-07-05,2205
1430,2010-07-06,2211
1431,2010-07-07,2265
1432,2010-07-08,2290
1433,2010-07-12,2289
1434,2010-07-13,2305
1435,2010-07-14,2310
1436,2010-07-15,2307
1437,2010-07-16,2283
1438,2010-07-19,2303
1439,2010-07-20,2336
1440,2010-07-21,2327
1441,2010-07-22,2360
1442,2010-07-23,2375
1443,2010-07-26,2388
1444,2010-07-27,2387
1445,2010-07-28,2374
1446,2010-07-29,2405
