,id_merval_usd,fecha,cierre
0,1,2010-02-22,599759
1,2,2010-02-26,565010
2,3,2010-03-09,595657
3,4,2010-03-12,605878
4,5,2010-03-16,608423
5,6,2010-03-17,607675
6,7,2010-03-25,625954
7,8,2010-04-09,642623
8,9,2010-04-12,637536
9,10,2010-04-13,637396
10,11,2010-04-19,625714
11,12,2010-04-27,615950
12,13,2010-05-03,616294
13,14,2010-05-04,599738
14,15,2010-05-05,580739
15,16,2010-05-10,586118
16,17,2010-05-11,588866
17,18,2010-06-09,555497
18,19,2010-07-01,554364
19,20,2010-07-06,561663
20,21,2010-07-14,586512
21,22,2010-07-23,604798
22,23,2010-07-26,610084
23,24,2010-07-27,608942
24,25,2010-07-29,614460
25,26,2010-07-30,603745
26,27,2010-08-12,597190
27,28,2010-08-17,625276
28,29,2010-08-18,630572
29,30,2010-08-25,604442
30,31,2010-08-31,594354
31,32,2010-09-09,613453
32,33,2010-09-10,616372
33,34,2010-09-13,622347
34,35,2010-09-20,642801
35,36,2010-09-21,647102
36,37,2010-09-22,645395
37,38,2010-09-30,672595
38,39,2010-10-06,673757
39,40,2010-10-19,699902
40,41,2010-10-21,722665
41,42,2010-10-26,738630
42,43,2010-11-02,794124
43,44,2010-11-04,840721
44,45,2010-11-09,848303
45,46,2010-11-10,857352
46,47,2010-11-11,840067
47,48,2010-11-12,808611
48,49,2010-11-15,824537
49,50,2010-11-16,787074
50,51,2010-12-10,843442
51,52,2010-12-21,858714
52,53,2010-12-23,873585
53,54,2011-01-04,910329
54,55,2011-01-17,886878
55,56,2011-01-18,902307
56,57,2011-01-20,911531
57,58,2011-01-21,903928
58,59,2011-01-26,898508
59,60,2011-01-27,895656
60,61,2011-01-28,870250
61,62,2011-01-31,878527
62,63,2011-02-02,881032
63,64,2011-02-07,866183
64,65,2011-02-08,866887
65,66,2011-02-14,849295
66,67,2011-02-16,858120
67,68,2011-02-22,835135
68,69,2011-02-23,818205
69,70,2011-02-24,805407
70,71,2011-02-25,810367
71,72,2011-02-28,821532
72,73,2011-03-03,828813
73,74,2011-03-09,822853
74,75,2011-03-10,808041
75,76,2011-03-11,807470
76,77,2011-03-14,794864
